etroc,lgad,chip,yellow_count,optical_noball_count,montage,xray,href,xray_missing_cells,bumpbond_missing_cells,bumpbond_positions,xray_missing_positions,min_dot_score,max_weak_z
W07D3-32,FBK_LF-W14_15,32,4,1,/assets/montages/W07D3_DATA2_chip_32.jpg,/assets/xray/7-32.jpg,hybrids/W07D3-32__FBK_LF-W14_15.html,1,0,,50,0.965,20.122
W07D3-42,FBK_LF-W14_11,42,3,0,/assets/montages/W07D3_DATA2_chip_42.jpg,/assets/xray/7-42.jpg,hybrids/W07D3-42__FBK_LF-W14_11.html,0,0,,,13.496,3.8
W07D3-56,FBK_LF-W14_26,56,11,0,/assets/montages/W07D3_DATA2_chip_56.jpg,/assets/xray/7-56.jpg,hybrids/W07D3-56__FBK_LF-W14_26.html,0,0,,,14.947,1.65
W07D3-64,FBK_LF-W14_25,64,55,0,/assets/montages/W07D3_DATA2_chip_64.jpg,/assets/xray/7-64.jpg,hybrids/W07D3-64__FBK_LF-W14_25.html,0,0,,,13.54,3.459
W07D3-69,HPK-W7_3,69,75,1,/assets/montages/W07D3_DATA3_chip_69.jpg,/assets/xray/7-69.jpg,hybrids/W07D3-69__HPK-W7_3.html,1,0,,117,1.929,11.259
W07D3-70,HPK-W7_2,70,24,1,/assets/montages/W07D3_DATA3_chip_70.jpg,/assets/xray/7-70.jpg,hybrids/W07D3-70__HPK-W7_2.html,0,0,,,0.929,13.979
W07D3-77,HPK-W7_1,77,17,0,/assets/montages/W07D3_DATA3_chip_77.jpg,/assets/xray/7-77.jpg,hybrids/W07D3-77__HPK-W7_1.html,1,1,30,30,8.053,15.246
W07D3-88,HPK-W3_24,88,16,0,/assets/montages/W07D3_DATA3_chip_88.jpg,/assets/xray/7-88.jpg,hybrids/W07D3-88__HPK-W3_24.html,0,0,,,0.478,34.164
W07D3-104,HPK-W3_23,104,1,0,/assets/montages/W07D3_DATA3_chip_104.jpg,/assets/xray/7-104.jpg,hybrids/W07D3-104__HPK-W3_23.html,1,1,29,29,4.283,7.582
W07D3-108,HPK-W3_22,108,0,0,/assets/montages/W07D3_DATA3_chip_108.jpg,/assets/xray/7-108.jpg,hybrids/W07D3-108__HPK-W3_22.html,0,0,,,13.956,3.966
W07D3-110,HPK-W3_21,110,3,0,/assets/montages/W07D3_DATA3_chip_110.jpg,/assets/xray/7-110.jpg,hybrids/W07D3-110__HPK-W3_21.html,1,1,30,30,11.912,7.498
W07D3-112,HPK-W3_20,112,4,1,/assets/montages/W07D3_DATA3_chip_112.jpg,/assets/xray/7-112.jpg,hybrids/W07D3-112__HPK-W3_20.html,1,0,,156,1.097,37.57
W07D3-115,HPK-W3_19,115,36,1,/assets/montages/W07D3_DATA3_chip_115.jpg,/assets/xray/7-115.jpg,hybrids/W07D3-115__HPK-W3_19.html,1,0,,203,0.858,28.412
